Votado| B| CLAIM| NA| NA| 0
aún| B| PREMISE| OPPOSITION| ATTACK| -1
siguen| I| PREMISE| OPPOSITION| ATTACK| -1
con| I| PREMISE| OPPOSITION| ATTACK| -1
el| I| PREMISE| OPPOSITION| ATTACK| -1
problema| I| PREMISE| OPPOSITION| ATTACK| -1
de| I| PREMISE| OPPOSITION| ATTACK| -1
las| I| PREMISE| OPPOSITION| ATTACK| -1
empresas| I| PREMISE| OPPOSITION| ATTACK| -1
concesionarias| I| PREMISE| OPPOSITION| ATTACK| -1
.| O| NA| NA| NA| 0
Lo| O| NA| NA| NA| 0
dicho| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
antes| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
criticar| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
conviene| O| NA| NA| NA| 0
informarse| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Sí| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
atados| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
cadena| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
mudos| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
molesten| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
vecinos| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
humano| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
antoje| O| NA| NA| NA| 0
pasar| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
allí| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
animales| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
2| O| NA| NA| NA| 0
patas| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
derecho| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
andar| O| NA| NA| NA| 0
sueltos| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
donde| O| NA| NA| NA| 0
quieran| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
cuando| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
son| O| NA| NA| NA| 0
mucho| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
cerdos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
incívicos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
malheducados| O| NA| NA| NA| 0
e| O| NA| NA| NA| 0
inhumanos| O| NA| NA| NA| 0
según| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
gente| O| NA| NA| NA| 0
entiende| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
humano| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
mayoría| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Pues| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
verdad| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
perrita| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
veo| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
mar| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
feliz| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
casa| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
ni| O| NA| NA| NA| 0
siquiera| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
gusta| O| NA| NA| NA| 0
pasear| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
campo| O| NA| NA| NA| 0
porque| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
gusta| O| NA| NA| NA| 0
pisar| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
hierba| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
digamos| O| NA| NA| NA| 0
ya| O| NA| NA| NA| 0
cuando| O| NA| NA| NA| 0
está| O| NA| NA| NA| 0
seca| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
debe| O| NA| NA| NA| 0
ser| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
pincha| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Es| O| NA| NA| NA| 0
mucho| O| NA| NA| NA| 0
menos| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
campo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
aunque| O| NA| NA| NA| 0
nací| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
he| O| NA| NA| NA| 0
vivido| O| NA| NA| NA| 0
siempre| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
igual| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
ella| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Hola| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
opinión| O| NA| NA| NA| 0
no| B| PREMISE| REASON| SUPPORT| 3
me| I| PREMISE| REASON| SUPPORT| 3
parece| I| PREMISE| REASON| SUPPORT| 3
una| I| PREMISE| REASON| SUPPORT| 3
prioridad| I| PREMISE| REASON| SUPPORT| 3
a| I| PREMISE| REASON| SUPPORT| 3
día| I| PREMISE| REASON| SUPPORT| 3
de| I| PREMISE| REASON| SUPPORT| 3
hoy| I| PREMISE| REASON| SUPPORT| 3
.| O| NA| NA| NA| 0
Creo| B| PREMISE| REASON| SUPPORT| 2
que| I| PREMISE| REASON| SUPPORT| 2
la| I| PREMISE| REASON| SUPPORT| 2
ciudadanía| I| PREMISE| REASON| SUPPORT| 2
deberíamos| I| PREMISE| REASON| SUPPORT| 2
volcarnos| I| PREMISE| REASON| SUPPORT| 2
más| I| PREMISE| REASON| SUPPORT| 2
en| I| PREMISE| REASON| SUPPORT| 2
acciones| I| PREMISE| REASON| SUPPORT| 2
que| I| PREMISE| REASON| SUPPORT| 2
realmente| I| PREMISE| REASON| SUPPORT| 2
supongan| I| PREMISE| REASON| SUPPORT| 2
un| I| PREMISE| REASON| SUPPORT| 2
beneficio| I| PREMISE| REASON| SUPPORT| 2
inmediato| I| PREMISE| REASON| SUPPORT| 2
para| I| PREMISE| REASON| SUPPORT| 2
los| I| PREMISE| REASON| SUPPORT| 2
habitantes| I| PREMISE| REASON| SUPPORT| 2
de| I| PREMISE| REASON| SUPPORT| 2
Madrid| I| PREMISE| REASON| SUPPORT| 2
.| O| NA| NA| NA| 0
La| B| PREMISE| RESULT| SUPPORT| 1
limpieza| I| PREMISE| RESULT| SUPPORT| 1
es| I| PREMISE| RESULT| SUPPORT| 1
importante| I| PREMISE| RESULT| SUPPORT| 1
pero| I| PREMISE| RESULT| SUPPORT| 1
no| I| PREMISE| RESULT| SUPPORT| 1
prioritaria| I| PREMISE| RESULT| SUPPORT| 1
,| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
tanto| O| NA| NA| NA| 0
no| B| CLAIM| NA| NA| 0
apoyaré| I| CLAIM| NA| NA| 0
esta| I| CLAIM| NA| NA| 0
propuesta| I| CLAIM| NA| NA| 0
porque| O| NA| NA| NA| 0
no| B| PREMISE| REASON| SUPPORT| -1
lo| I| PREMISE| REASON| SUPPORT| -1
veo| I| PREMISE| REASON| SUPPORT| -1
prioritario| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0

Acabar| B| CLAIM| NA| NA| 0
con| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
excrementos| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
perros| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
las| I| CLAIM| NA| NA| 0
calles| I| CLAIM| NA| NA| 0

Ahora| B| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
va| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
remodelar| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
Plaza| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
España| I| CLAIM| NA| NA| 0
sería| I| CLAIM| NA| NA| 0
una| I| CLAIM| NA| NA| 0
oportunidad| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
oro| I| CLAIM| NA| NA| 0
hacer| I| CLAIM| NA| NA| 0
peatonal| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
Cuesta| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
San| I| CLAIM| NA| NA| 0
Vicente| I| CLAIM| NA| NA| 0
para| O| NA| NA| NA| 0
hacer| B| PREMISE| GOAL| SUPPORT| -1
una| I| PREMISE| GOAL| SUPPORT| -1
senda| I| PREMISE| GOAL| SUPPORT| -1
verde| I| PREMISE| GOAL| SUPPORT| -1
que| I| PREMISE| GOAL| SUPPORT| -1
una| I| PREMISE| GOAL| SUPPORT| -1
el| I| PREMISE| GOAL| SUPPORT| -1
centro| I| PREMISE| GOAL| SUPPORT| -1
con| I| PREMISE| GOAL| SUPPORT| -1
el| I| PREMISE| GOAL| SUPPORT| -1
Campo| I| PREMISE| GOAL| SUPPORT| -1
del| I| PREMISE| GOAL| SUPPORT| -1
Moro| I| PREMISE| GOAL| SUPPORT| -1
,| I| PREMISE| GOAL| SUPPORT| -1
Madrid| I| PREMISE| GOAL| SUPPORT| -1
Río| I| PREMISE| GOAL| SUPPORT| -1
y| I| PREMISE| GOAL| SUPPORT| -1
Casa| I| PREMISE| GOAL| SUPPORT| -1
de| I| PREMISE| GOAL| SUPPORT| -1
Campo| I| PREMISE| GOAL| SUPPORT| -1
.| O| NA| NA| NA| 0

A| B| CLAIM| NA| NA| 0
mí| I| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
me| I| CLAIM| NA| NA| 0
parece| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
Castellana| I| CLAIM| NA| NA| 0
sea| I| CLAIM| NA| NA| 0
un| I| CLAIM| NA| NA| 0
lugar| I| CLAIM| NA| NA| 0
peligroso| I| CLAIM| NA| NA| 0
para| I| CLAIM| NA| NA| 0
circular| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
bicicleta| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Bastante| B| PREMISE| EXEMPLIFICATION| SUPPORT| -1
peores| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
son| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
otros| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
tramos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
como| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
el| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
Príncipe| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
Pío| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
hacia| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
Plaza| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
España| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
.| O| NA| NA| NA| 0

Votado| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
favor| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
apoyad| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
iniciativa| O| NA| NA| NA| 0
sobre| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
ciudad| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Entre| O| NA| NA| NA| 0
todos| O| NA| NA| NA| 0
nos| O| NA| NA| NA| 0
háremos| O| NA| NA| NA| 0
oir| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Estoy| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
acurdo| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
tu| O| NA| NA| NA| 0
propuesta| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
parece| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
utopía| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Ha| O| NA| NA| NA| 0
día| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
hoy| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
tienen| O| NA| NA| NA| 0
seguros| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
incluyan| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
responsabilidad| O| NA| NA| NA| 0
civil| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
llevan| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
chip| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
nombre| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
raza| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
qué| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
ADN| O| NA| NA| NA| 0
serviría| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
control| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
venta| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
reproducción| O| NA| NA| NA| 0
además| O| NA| NA| NA| 0
todos| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
veterinarios| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
registro| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
animales| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
clientes| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
lógicamente| O| NA| NA| NA| 0
estarán| O| NA| NA| NA| 0
cercanos| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
domicilio| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
:| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
registro| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
chips| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
realicen| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
análisis| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
incluyan| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
ley| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
registro| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
cruza| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
ayuntamiento| O| NA| NA| NA| 0
tenemos| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
zona| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
ADN| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
dueño| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Como| O| NA| NA| NA| 0
decía| O| NA| NA| NA| 0
Carlos| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
sancionar| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
recoge| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
muestra| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
foto| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
denuncia| O| NA| NA| NA| 0
sitio| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
calle| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
manda| O| NA| NA| NA| 0
analizar| O| NA| NA| NA| 0
tenemos| O| NA| NA| NA| 0
funcionarios| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
sobra| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
ganas| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
trabajar| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
departamento| O| NA| NA| NA| 0
oportuno| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Se| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
envía| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
muestra| O| NA| NA| NA| 0
analizada| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
dueño| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
regalo| O| NA| NA| NA| 0
-| O| NA| NA| NA| 0
prueba| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
totalidad| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
denuncia| O| NA| NA| NA| 0
desglosada| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
gastos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
transporte| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
sanción| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Así| O| NA| NA| NA| 0
conseguimos| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
dueño| O| NA| NA| NA| 0
in-cívico| O| NA| NA| NA| 0
pague| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
dará| O| NA| NA| NA| 0
trabajo| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
creara| O| NA| NA| NA| 0
empleo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Yo| O| NA| NA| NA| 0
estoy| B| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
acuerdo| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
sería| I| CLAIM| NA| NA| 0
importante| I| CLAIM| NA| NA| 0
hacer| I| CLAIM| NA| NA| 0
un| I| CLAIM| NA| NA| 0
carril| I| CLAIM| NA| NA| 0
bicicleta| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
castellana| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
pero| B| PREMISE| OPPOSITION| ATTACK| -1
por| I| PREMISE| OPPOSITION| ATTACK| -1
el| I| PREMISE| OPPOSITION| ATTACK| -1
bulevar| I| PREMISE| OPPOSITION| ATTACK| -1
peatonal| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
ya| I| PREMISE| OPPOSITION| ATTACK| -1
de| I| PREMISE| OPPOSITION| ATTACK| -1
por| I| PREMISE| OPPOSITION| ATTACK| -1
si| I| PREMISE| OPPOSITION| ATTACK| -1
tiene| I| PREMISE| OPPOSITION| ATTACK| -1
una| I| PREMISE| OPPOSITION| ATTACK| -1
anchura| I| PREMISE| OPPOSITION| ATTACK| -1
considerable| I| PREMISE| OPPOSITION| ATTACK| -1
.| O| NA| NA| NA| 0
Me| O| NA| NA| NA| 0
parece| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
ha| O| NA| NA| NA| 0
hecho| O| NA| NA| NA| 0
actualmente| O| NA| NA| NA| 0
pintando| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
carril| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
dos| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
lateral| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
chapuza| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
esta| O| NA| NA| NA| 0
ocasionando| O| NA| NA| NA| 0
accidentes| O| NA| NA| NA| 0
tanto| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
