Limpiar| B| MAJOR_CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
hay| I| CLAIM| NA| NA| 0
por| I| CLAIM| NA| NA| 0
mi| I| CLAIM| NA| NA| 0
barrio| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
ha| I| CLAIM| NA| NA| 0
multiplicado| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
estos| I| CLAIM| NA| NA| 0
3| I| CLAIM| NA| NA| 0
meses| I| CLAIM| NA| NA| 0
precisamente| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Yo| O| NA| NA| NA| 0
también| O| NA| NA| NA| 0
les| O| NA| NA| NA| 0
vote| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
es| B| CLAIM| NA| NA| 0
impresicindible| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
empiecen| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
tomar| I| CLAIM| NA| NA| 0
medidas| I| CLAIM| NA| NA| 0
ya| I| CLAIM| NA| NA| 0
porque| O| NA| NA| NA| 0
es| B| PREMISE| REASON| SUPPORT| -1
vergonzoso| I| PREMISE| REASON| SUPPORT| -1
tener| I| PREMISE| REASON| SUPPORT| -1
una| I| PREMISE| REASON| SUPPORT| -1
ciudad| I| PREMISE| REASON| SUPPORT| -1
como| I| PREMISE| REASON| SUPPORT| -1
Madrid| I| PREMISE| REASON| SUPPORT| -1
tan| I| PREMISE| REASON| SUPPORT| -1
sumamente| I| PREMISE| REASON| SUPPORT| -1
sucia| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0
A| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
paso| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
ciudad| O| NA| NA| NA| 0
va| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
parecer| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
cloaca| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Pues| O| NA| NA| NA| 0
habrá| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
exigirlo| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
gritos| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
pongan| O| NA| NA| NA| 0
urgentemente| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
también| O| NA| NA| NA| 0
creo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
en| B| CLAIM| NA| NA| 0
estos| I| CLAIM| NA| NA| 0
meses| I| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
solo| I| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
ha| I| CLAIM| NA| NA| 0
mejorado| I| CLAIM| NA| NA| 0
si| I| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
ha| I| CLAIM| NA| NA| 0
empeorado| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
yo| B| PREMISE| EXPLANATION| SUPPORT| -1
me| I| PREMISE| EXPLANATION| SUPPORT| -1
avergüenzo| I| PREMISE| EXPLANATION| SUPPORT| -1
de| I| PREMISE| EXPLANATION| SUPPORT| -1
esta| I| PREMISE| EXPLANATION| SUPPORT| -1
ciudad| I| PREMISE| EXPLANATION| SUPPORT| -1
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
olvidar| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
capital| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
tendría| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
dar| O| NA| NA| NA| 0
ejemplo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Coincido| O| NA| NA| NA| 0
plenamente| O| NA| NA| NA| 0
contigo| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
distritos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
algunos| B| CLAIM| NA| NA| 0
dan| I| CLAIM| NA| NA| 0
autentico| I| CLAIM| NA| NA| 0
asco| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
aunque| O| NA| NA| NA| 0
también| B| PREMISE| CONCESSION| ATTACK| -1
tiene| I| PREMISE| CONCESSION| ATTACK| -1
que| I| PREMISE| CONCESSION| ATTACK| -1
haber| I| PREMISE| CONCESSION| ATTACK| -1
algo| I| PREMISE| CONCESSION| ATTACK| -1
de| I| PREMISE| CONCESSION| ATTACK| -1
responsabilidad| I| PREMISE| CONCESSION| ATTACK| -1
por| I| PREMISE| CONCESSION| ATTACK| -1
parte| I| PREMISE| CONCESSION| ATTACK| -1
de| I| PREMISE| CONCESSION| ATTACK| -1
la| I| PREMISE| CONCESSION| ATTACK| -1
gente| I| PREMISE| CONCESSION| ATTACK| -1
de| I| PREMISE| CONCESSION| ATTACK| -1
no| I| PREMISE| CONCESSION| ATTACK| -1
ensuciar| I| PREMISE| CONCESSION| ATTACK| -1
las| I| PREMISE| CONCESSION| ATTACK| -1
calles| I| PREMISE| CONCESSION| ATTACK| -1
.| O| NA| NA| NA| 0
Algunos| B| PREMISE| REASON| SUPPORT| -2
piensan| I| PREMISE| REASON| SUPPORT| -2
que| I| PREMISE| REASON| SUPPORT| -2
es| I| PREMISE| REASON| SUPPORT| -2
un| I| PREMISE| REASON| SUPPORT| -2
estercolero| I| PREMISE| REASON| SUPPORT| -2
y| I| PREMISE| REASON| SUPPORT| -2
pueden| I| PREMISE| REASON| SUPPORT| -2
ir| I| PREMISE| REASON| SUPPORT| -2
tirando| I| PREMISE| REASON| SUPPORT| -2
todo| I| PREMISE| REASON| SUPPORT| -2
lo| I| PREMISE| REASON| SUPPORT| -2
que| I| PREMISE| REASON| SUPPORT| -2
les| I| PREMISE| REASON| SUPPORT| -2
venga| I| PREMISE| REASON| SUPPORT| -2
en| I| PREMISE| REASON| SUPPORT| -2
la| I| PREMISE| REASON| SUPPORT| -2
real| I| PREMISE| REASON| SUPPORT| -2
gana| I| PREMISE| REASON| SUPPORT| -2
.| O| NA| NA| NA| 0
Deberían| O| NA| NA| NA| 0
tomarse| O| NA| NA| NA| 0
medidas| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
uno| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
otro| O| NA| NA| NA| 0
sentido| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Totalmente| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
acuerdo| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
otra| B| CLAIM| NA| NA| 0
medida| I| CLAIM| NA| NA| 0
sería| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
las| I| CLAIM| NA| NA| 0
autoridades| I| CLAIM| NA| NA| 0
aplicarán| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
ley| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
este| I| CLAIM| NA| NA| 0
sentido| I| CLAIM| NA| NA| 0
y| I| CLAIM| NA| NA| 0
sancionaran| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
sucios| I| CLAIM| NA| NA| 0
pero| O| NA| NA| NA| 0
para| B| PREMISE| OPPOSITION| ATTACK| -1
eso| I| PREMISE| OPPOSITION| ATTACK| -1
hay| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
vigilar| I| PREMISE| OPPOSITION| ATTACK| -1
y| I| PREMISE| OPPOSITION| ATTACK| -1
no| I| PREMISE| OPPOSITION| ATTACK| -1
pasar| I| PREMISE| OPPOSITION| ATTACK| -1
de| I| PREMISE| OPPOSITION| ATTACK| -1
largo| I| PREMISE| OPPOSITION| ATTACK| -1
.| O| NA| NA| NA| 0

Una| O| NA| NA| NA| 0
cosa| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
predicar| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
otra| O| NA| NA| NA| 0
dar| O| NA| NA| NA| 0
trigo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
La| O| NA| NA| NA| 0
demagogia| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
gratuita| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
En| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
barrio| O| NA| NA| NA| 0
Hortaleza| O| NA| NA| NA| 0
-| O| NA| NA| NA| 0
Santa| O| NA| NA| NA| 0
María| O| NA| NA| NA| 0
hace| O| NA| NA| NA| 0
dosmeses| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Que| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
limpia| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Foco| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
infeccionesseguro| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Hay| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
propuesta| O| NA| NA| NA| 0
muy| O| NA| NA| NA| 0
buena| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
acabar| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
cacas| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
calle| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
favor| O| NA| NA| NA| 0
votadla| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
dadle| O| NA| NA| NA| 0
difusión| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

El| B| CLAIM| NA| NA| 0
Ayuntamiento| I| CLAIM| NA| NA| 0
ya| I| CLAIM| NA| NA| 0
tiene| I| CLAIM| NA| NA| 0
entre| I| CLAIM| NA| NA| 0
sus| I| CLAIM| NA| NA| 0
objetivos| I| CLAIM| NA| NA| 0
y| I| CLAIM| NA| NA| 0
tareas| I| CLAIM| NA| NA| 0
habituales| I| CLAIM| NA| NA| 0
limpiar| I| CLAIM| NA| NA| 0
las| I| CLAIM| NA| NA| 0
calles| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Para| O| NA| NA| NA| 0
hacer| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
propuesta| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
sería| B| PREMISE| GOAL| SUPPORT| -1
necesario| I| PREMISE| GOAL| SUPPORT| -1
algo| I| PREMISE| GOAL| SUPPORT| -1
tan| I| PREMISE| GOAL| SUPPORT| -1
básico| I| PREMISE| GOAL| SUPPORT| -1
como| I| PREMISE| GOAL| SUPPORT| -1
concretar| I| PREMISE| GOAL| SUPPORT| -1
qué| I| PREMISE| GOAL| SUPPORT| -1
medidas| I| PREMISE| GOAL| SUPPORT| -1
concretas| I| PREMISE| GOAL| SUPPORT| -1
de| I| PREMISE| GOAL| SUPPORT| -1
limpieza| I| PREMISE| GOAL| SUPPORT| -1
se| I| PREMISE| GOAL| SUPPORT| -1
solicitan| I| PREMISE| GOAL| SUPPORT| -1
.| O| NA| NA| NA| 0

Si| O| NA| NA| NA| 0
es| B| PREMISE| CONDITION| SUPPORT| 1
una| I| PREMISE| CONDITION| SUPPORT| 1
tarea| I| PREMISE| CONDITION| SUPPORT| 1
habitual| I| PREMISE| CONDITION| SUPPORT| 1
,| O| NA| NA| NA| 0
en| B| CLAIM| NA| NA| 0
mi| I| CLAIM| NA| NA| 0
barrio| I| CLAIM| NA| NA| 0
lo| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
habitual| I| CLAIM| NA| NA| 0
es| I| CLAIM| NA| NA| 0
una| I| CLAIM| NA| NA| 0
vez| I| CLAIM| NA| NA| 0
al| I| CLAIM| NA| NA| 0
mes| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
La| B| CLAIM| NA| NA| 0
medida| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
solicita| I| CLAIM| NA| NA| 0
es| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
lleve| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
cabo| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
tarea| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
presupone| I| CLAIM| NA| NA| 0
hay| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
hacer| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Quiero| O| NA| NA| NA| 0
dignidad| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
calles| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
nada| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Entiendo| B| CLAIM| NA| NA| 0
tu| I| CLAIM| NA| NA| 0
enfado| I| CLAIM| NA| NA| 0
con| I| CLAIM| NA| NA| 0
el| I| CLAIM| NA| NA| 0
problema| I| CLAIM| NA| NA| 0
mayúsculo| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
es| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
limpieza| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
ciudad| I| CLAIM| NA| NA| 0
porque| O| NA| NA| NA| 0
lo| B| PREMISE| REASON| SUPPORT| -1
compartimos| I| PREMISE| REASON| SUPPORT| -1
todos| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0
Sin| O| NA| NA| NA| 0
embargo| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
creo| B| PREMISE| OPPOSITION| ATTACK| -2
que| I| PREMISE| OPPOSITION| ATTACK| -2
este| I| PREMISE| OPPOSITION| ATTACK| -2
tipo| I| PREMISE| OPPOSITION| ATTACK| -2
de| I| PREMISE| OPPOSITION| ATTACK| -2
propuestas| I| PREMISE| OPPOSITION| ATTACK| -2
genéricas| I| PREMISE| OPPOSITION| ATTACK| -2
no| I| PREMISE| OPPOSITION| ATTACK| -2
llegan| I| PREMISE| OPPOSITION| ATTACK| -2
a| I| PREMISE| OPPOSITION| ATTACK| -2
ningúna| I| PREMISE| OPPOSITION| ATTACK| -2
parte| I| PREMISE| OPPOSITION| ATTACK| -2
,| I| PREMISE| OPPOSITION| ATTACK| -2
ya| I| PREMISE| OPPOSITION| ATTACK| -2
que| I| PREMISE| OPPOSITION| ATTACK| -2
ya| I| PREMISE| OPPOSITION| ATTACK| -2
es| I| PREMISE| OPPOSITION| ATTACK| -2
una| I| PREMISE| OPPOSITION| ATTACK| -2
prioridad| I| PREMISE| OPPOSITION| ATTACK| -2
para| I| PREMISE| OPPOSITION| ATTACK| -2
todos| I| PREMISE| OPPOSITION| ATTACK| -2
.| O| NA| NA| NA| 0
Mejor| B| PREMISE| ALTERNATIVE| ATTACK| -3
sería| I| PREMISE| ALTERNATIVE| ATTACK| -3
informarse| I| PREMISE| ALTERNATIVE| ATTACK| -3
de| I| PREMISE| ALTERNATIVE| ATTACK| -3
los| I| PREMISE| ALTERNATIVE| ATTACK| -3
motivos| I| PREMISE| ALTERNATIVE| ATTACK| -3
por| I| PREMISE| ALTERNATIVE| ATTACK| -3
los| I| PREMISE| ALTERNATIVE| ATTACK| -3
que| I| PREMISE| ALTERNATIVE| ATTACK| -3
los| I| PREMISE| ALTERNATIVE| ATTACK| -3
actuales| I| PREMISE| ALTERNATIVE| ATTACK| -3
contratos| I| PREMISE| ALTERNATIVE| ATTACK| -3
de| I| PREMISE| ALTERNATIVE| ATTACK| -3
limpieza| I| PREMISE| ALTERNATIVE| ATTACK| -3
con| I| PREMISE| ALTERNATIVE| ATTACK| -3
empresas| I| PREMISE| ALTERNATIVE| ATTACK| -3
adjudicatarias| I| PREMISE| ALTERNATIVE| ATTACK| -3
no| I| PREMISE| ALTERNATIVE| ATTACK| -3
están| I| PREMISE| ALTERNATIVE| ATTACK| -3
funcionando| I| PREMISE| ALTERNATIVE| ATTACK| -3
te| O| NA| NA| NA| 0
aconsejo| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
artículo| O| NA| NA| NA| 0
:| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
después| B| PREMISE| GOAL| SUPPORT| -1
proponemos| I| PREMISE| GOAL| SUPPORT| -1
algo| I| PREMISE| GOAL| SUPPORT| -1
concreto| I| PREMISE| GOAL| SUPPORT| -1
para| I| PREMISE| GOAL| SUPPORT| -1
solucionar| I| PREMISE| GOAL| SUPPORT| -1
el| I| PREMISE| GOAL| SUPPORT| -1
problema| I| PREMISE| GOAL| SUPPORT| -1
:| O| NA| NA| NA| 0
¿| B| PREMISE| EXEMPLIFICATION| SUPPORT| -1
seguir| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
como| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
hasta| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
ahora| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
hasta| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
que| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
expiren| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
los| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
contratos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
?| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
¿| B| PREMISE| EXEMPLIFICATION| SUPPORT| -2
Rompemos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
los| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
contratos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
,| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
pagamos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
multa| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
,| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
y| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
remunicipalizamos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
el| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
servicio| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
?| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
o| O| NA| NA| NA| 0
cualquier| B| PREMISE| EXEMPLIFICATION| SUPPORT| -3
otra| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
que| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
se| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
nos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
ocurra| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
.| O| NA| NA| NA| 0

Yo| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
soy| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
alcaldesa| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
eso| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
solucionar| O| NA| NA| NA| 0
ella| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
eso| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
eligió| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
hay| B| PREMISE| CONDITION| SUPPORT| 1
una| I| PREMISE| CONDITION| SUPPORT| 1
cláusulas| I| PREMISE| CONDITION| SUPPORT| 1
que| I| PREMISE| CONDITION| SUPPORT| 1
obligan| I| PREMISE| CONDITION| SUPPORT| 1
a| I| PREMISE| CONDITION| SUPPORT| 1
hacer| I| PREMISE| CONDITION| SUPPORT| 1
bien| I| PREMISE| CONDITION| SUPPORT| 1
el| I| PREMISE| CONDITION| SUPPORT| 1
servicio| I| PREMISE| CONDITION| SUPPORT| 1
y| I| PREMISE| CONDITION| SUPPORT| 1
no| I| PREMISE| CONDITION| SUPPORT| 1
se| I| PREMISE| CONDITION| SUPPORT| 1
hace| I| PREMISE| CONDITION| SUPPORT| 1
se| B| CLAIM| NA| NA| 0
podrán| I| CLAIM| NA| NA| 0
tomar| I| CLAIM| NA| NA| 0
medidas| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Sólo| O| NA| NA| NA| 0
sé| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
barrio| O| NA| NA| NA| 0
está| O| NA| NA| NA| 0
muy| O| NA| NA| NA| 0
sucio| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
fue| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
distrito| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
